政治實體,GEC代碼,ISO 3166-1二位字母代碼,ISO 3166-0三位字母代碼,三位數字代碼,Stanag標準化國碼,網際網路,註說
巴勒斯坦,WE,PS,PSE,275,PSE,.ps,
撒拉威阿拉伯民主共和國,WI,EH,ESH,732,ESH,.eh,ISO名稱西撒哈拉
聯合國,UN,不適用,不適用,不適用,不適用,不適用,
歐盟,EU,不適用,不適用,不適用,不適用,不適用,
東協,ASEAN,不適用,不適用,不適用,不適用,不適用,
葉門,YM,YE,YEM,887,YEM,.ye,
薩伊,ZA,ZA,ZAI,不適用,ZAI,不適用,參見?剛果民主共和國
尚比亞,ZA,ZM,ZMB,894,ZMB,.zm,
辛巴威,ZI,ZW,ZWE,716,ZWE,.zw,
羅德西亞,RH,RO,RHO,不適用,RHO,不適用,分拆為?北羅德西亞（現?尚比亞）及?辛巴威
西印度群島聯邦,WI,WI,WIF,不適用,WIF,不適用,
獨立國協,EN,EN,EUN,不適用,EUN,不適用,
澳大拉西亞,AN,AZ,ANZ,不適用,ANZ,不適用,
南斯拉夫,YU,YG,YUG,不適用,YUG,不適用,
蘇聯,UR,UR,URS,不適用,URS,不適用,?蘇聯
達荷美,DA,DH,DAH,不適用,DAH,不適用,
上伏塔,VO,VL,VOL,不適用,VOL,不適用,
波希米亞,BO,BO,BOH,不適用,BOH,不適用,
捷克斯洛伐克,TC,TC,TCH,不適用,TCH,不適用,
聯合阿拉伯共和國,UA,UA,UAR,不適用,UAR,不適用,
塞爾維亞與蒙特內哥羅,SC,SG,SCG,不適用,SCG,不適用,
非盟,AU,不適用,不適用,不適用,不適用,不適用,
